Symbol,Description
A,Rolnictwo, leśnictwo, łowiectwo i rybactwo
B,Górnictwo i wydobywanie
C,Przetwórstwo przemysłowe
D,Wytwarzanie i zaopatrywanie w energię elektryczną, gaz, parę wodną, gorącą wodę i powietrze do układów klimatyzacyjnych
E,Dostawa wody; gospodarowanie ściekami i odpadami oraz działalność związana z rekultywacją
F,Budownictwo
G,Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle
H,Transport i gospodarka magazynowa
I,Działalność związana z zakwaterowaniem i usługami gastronomicznymi
J,Informacja i komunikacja
K,Działalność finansowa i ubezpieczeniowa
L,Działalność związana z obsługą rynku nieruchomości
M,Działalność profesjonalna, naukowa i techniczna
N,Działalność w zakresie usług administrowania i działalność wspierająca
O,Administracja publiczna i obrona narodowa; obowiązkowe zabezpieczenia społeczne
P,Edukacja
Q,Opieka zdrowotna i pomoc społeczna
R,Działalność związana z kulturą, rozrywką i rekreacją
S,Pozostała działalność usługowa
T,Gospodarstwa domowe zatrudniające pracowników; gospodarstwa domowe produkujące wyroby i świadczące usługi na własne potrzeby
U,Organizacje i zespoły eksterytorialne